no,code,name,type,gu,gujuso,x,y,room,year,old,area,resident,ave_area,area,a1,a2,a3,a4,a5,a6,a7,a8,a9
93,70152,하왕한진그랑빌(하왕1-2),재개발,중구,중구 왕십리로39길 30 ,37.5643444,127.0262567,116,2000-04-15,20,27,재개발,27,27,,,,,,,,,
94,70153,래미안수유(수유2),재개발,강북구,강북구 한천로159길 8 ,37.6448399,127.0198042,180,2000-04-28,20,32,재개발,32,32,,,,,,,,,
95,70150,이문현대(이문1),재개발,동대문구,동대문구 한천로58길 135 ,37.6006966,127.0706558,188,2000-05-03,20,32,재개발,32,32,,,,,,,,,
96,70156,전농SK(전농4),재개발,동대문구,동대문구 전농로10길 111 ,37.5758622,127.0616401,848,2000-07-01,20,32,재개발,32,32,,,,,,,,,
97,70154,남산타운(신당3),재개발,중구,중구 다산로 32 ,37.567665,127.0160853,2034,2000-06-09,20,32,재개발,32,32,,,,,,,,,
98,70157,신공덕삼성,재개발,마포구,마포구 백범로37길 6 ,37.5434849,126.9544909,376,2000-08-14,20,32,재개발,32,32,,,,,,,,,
99,70155,전농삼성(전농5),재개발,동대문구,동대문구 전농로 190 ,37.5855163,127.0516781,139,2000-07-10,20,32,재개발,32,32,,,,,,,,,
100,70158,제기한신(제기2),재개발,동대문구,동대문구 회기로8길 20 ,37.5905916,127.040462,260,2000-07-07,20,32,재개발,32,32,,,,,,,,,
101,70159,답십리두산(답십리9),재개발,동대문구,동대문구 답십리로56길 21-1 ,37.5687047,127.0587649,310,2000-08-02,20,32,재개발,32,32,,,,,,,,,
102,70161,산천리버힐삼성(산천삼성),재개발,용산구,용산구 효창원로13길 7 ,37.535812,126.9522611,363,2000-06-01,20,32,재개발,32,32,,,,,,,,,
103,70160,남가좌삼성(남가좌7),재개발,서대문구,서대문구 증가로 191 ,37.5785033,126.9173937,358,2000-08-01,20,30,재개발,30,30,,,,,,,,,
104,20190,신정학마을2,공공,양천구,양천구 신정로14길 1 ,37.5086039,126.8447718,510,2000-09-12,20,"39,49",공공,44,39,49,,,,,,,,
105,20192,거여3,공공,송파구,송파구 양산로2길 44 ,37.4887554,127.145968,598,2000-09-24,20,"39,59",공공,49,39,59,,,,,,,,
106,70162,상도신동아(상도1),재개발,동작구,동작구 만양로 19 ,37.5061874,126.9473371,925,2000-10-01,20,32,재개발,32,32,,,,,,,,,
107,70164,금호대우(금호8),재개발,성동구,성동구 독서당로 272 ,37.5481544,127.0237663,508,2000-10-06,20,32,재개발,32,32,,,,,,,,,
108,70163,금호벽산(금호6),재개발,성동구,성동구 금호로 100 ,37.55446902,127.0257504,1214,2000-10-07,20,29,재개발,29,29,,,,,,,,,
109,70167,봉천두산(봉천8),재개발,관악구,관악구 양녕로 31 ,37.4859987,126.9468946,560,2000-10-30,20,31,재개발,31,31,,,,,,,,,
110,70165,신공덕2삼성,재개발,마포구,마포구 만리재로 74 ,37.5454253,126.9558104,103,2000-10-28,20,33,재개발,33,33,,,,,,,,,
111,70166,중림삼성(충정삼성),재개발,중구,중구 중림로4길 41 ,37.558083,126.9641137,355,2000-12-22,20,31,재개발,31,31,,,,,,,,,
112,20191,신정푸른마을1단지,공공,양천구,양천구 신정로7길 70 ,37.5093662,126.837134,500,2001-01-29,20,"39,49",공공,44,39,49,,,,,,,,
113,70168,이문쌍용,재개발,동대문구,동대문구 한천로58길 75-45 ,37.6006966,127.0706558,245,2000-11-29,20,30,재개발,30,30,,,,,,,,,
114,70169,신길삼성(신길2-3),재개발,영등포구,영등포구 신길로42길 25 ,37.5069745,126.9138037,387,2001-03-10,19,32,재개발,32,32,,,,,,,,,
115,70172,하왕금호베스트빌(하왕1-3),재개발,성동구,성동구 난계로 114-31 ,37.56149719,127.0258039,274,2001-04-10,19,32,재개발,32,32,,,,,,,,,
116,70170,염리삼성,재개발,마포구,마포구 백범로25길 83 ,37.5472923,126.9472142,109,2001-03-01,20,32,재개발,32,32,,,,,,,,,
117,70171,답십리대우(답십리11),재개발,동대문구,동대문구 답십리로41길 7 ,37.5735811,127.0540087,108,2001-03-17,19,29,재개발,29,29,,,,,,,,,
118,40105,상계마들,영구,노원구,노원구 덕릉로70가길 101 ,37.6436215,127.0593747,170,2001-01-31,20,39,영구,39,39,,,,,,,,,
119,70182,관악드림타운(봉천3),재개발,관악구,관악구 구암길 106 ,37.4888315,126.9472945,1843,2001-07-16,19,32,재개발,32,32,,,,,,,,,
120,70181,냉천동부(냉천),재개발,서대문구,서대문구 독립문로14길 64-6 ,37.5667826,126.9605635,76,2001-07-18,19,28,재개발,28,28,,,,,,,,,
121,70184,도원삼성(도원),재개발,용산구,용산구 새창로8길 7 ,37.5372751,126.9523464,534,2001-10-05,19,32,재개발,32,32,,,,,,,,,
122,70185,수색대림(수색2-1),재개발,은평구,은평구 은평터널로 66 ,37.5846647,126.8984766,464,2001-10-15,19,32,재개발,32,32,,,,,,,,,
123,70183,홍릉동부(청량리5),재개발,동대문구,동대문구 제기로26길 26 ,37.5859849,127.0451278,150,2001-10-29,19,33,재개발,33,33,,,,,,,,,
124,70189,학여울청구B(하계2B),재개발,노원구,노원구 한글비석로 6 ,37.65887,127.07371,378,2001-11-17,19,32,재개발,32,32,,,,,,,,,
125,70186,SK북한산시티(미아1-1),재개발,강북구,강북구 솔샘로 174 ,37.61879615,127.0126154,1497,2001-11-17,19,32,재개발,32,32,,,,,,,,,
