no,name,line,trans,x,y,coporation,juso
174,충정로,서울 도시철도 5호선,일반역,37.56022847,126.9636503,서울교통공사,서울특별시 서대문구 충정로 28-1
175,독립문,서울 도시철도 3호선,일반역,37.57448506,126.9578508,서울교통공사,서울특별시 서대문구 통일로 지하 247 (현저동)
176,무악재,서울 도시철도 3호선,일반역,37.58211864,126.9501814,서울교통공사,서울특별시 서대문구 통일로 지하 361 (홍제동)
177,홍제,서울 도시철도 3호선,일반역,37.58852355,126.944165,서울교통공사,서울특별시 서대문구 통일로 지하 440-1 (홍제동)
178,남태령,서울 도시철도 4호선,일반역,37.46424858,126.9888363,서울교통공사,서울특별시 서초구 과천대로 지하 816 (방배동)
179,양재,서울 도시철도 3호선,일반역,37.48381174,127.0345768,서울교통공사,서울특별시 서초구 남부순환로 지하 2585 (서초동)
180,방배,서울 도시철도 2호선,일반역,37.48130245,126.997636,서울교통공사,서울특별시 서초구 방배로 지하 80 (방배동)
181,서초,서울 도시철도 2호선,일반역,37.49178284,127.0075972,서울교통공사,서울특별시 서초구 서초대로 지하 233 (서초동)
182,교대,서울 도시철도 2호선,일반역,37.49320061,127.0142237,서울교통공사,서울특별시 서초구 서초대로 지하 294 (서초동)
183,교대,서울 도시철도 3호선,일반역,37.49320061,127.0140237,서울교통공사,서울특별시 서초구 서초대로 지하 294 (서초동)
184,내방,서울 도시철도 7호선,일반역,37.4875118,126.9932223,서울교통공사,서울특별시 서초구 서초대로 지하103 (방배동)
185,남부터미널,서울 도시철도 3호선,일반역,37.48482472,127.0161898,서울교통공사,서울특별시 서초구 서초중앙로 지하 31 (서초동)
186,고속터미널,서울 도시철도 3호선,일반역,37.50436623,127.0049403,서울교통공사,서울특별시 서초구 신반포로 지하 188 (반포동)
187,고속터미널,서울 도시철도 7호선,일반역,37.50436623,127.0045403,서울교통공사,서울특별시 서초구 신반포로 지하 188 (반포동)
188,반포,서울 도시철도 7호선,일반역,37.50820769,127.011497,서울교통공사,서울특별시 서초구 신반포로 지하241(잠원동)
189,잠원,서울 도시철도 3호선,일반역,37.51282982,127.0112442,서울교통공사,서울특별시 서초구 잠원로 4길 지하 46 (잠원동)
190,신금호,서울 도시철도 5호선,일반역,37.55440938,127.0205515,서울교통공사,서울특별시 성동구 금호로 지하154 (금호동2가)
191,옥수,서울 도시철도 3호선,일반역,37.5414877,127.0177608,서울교통공사,서울특별시 성동구 동호로 21 (옥수동) 옥수역
192,금호,서울 도시철도 3호선,일반역,37.54800401,127.0156615,서울교통공사,서울특별시 성동구 동호로 지하 104 (금호동4가)
193,마장,서울 도시철도 5호선,일반역,37.56620675,127.0429769,서울교통공사,서울특별시 성동구 마장로 지하296 (마장동)
