gov,gu,name,school,type,juso,student,class,x,y
성북,강북구,삼각산중학교,중학교, 공립, 서울특별시 강북구 삼양로   19길 141,37.3,35,37.6159863,127.0154641
성북,성북구,서울장곡초등학교,초등학교, 공립,서울특별시 성북구 장월로23길 16 ,21.9,36,37.6160452,127.0480988
성북,성북구,서울장곡초등학교병설유치원,유치원,공립,서울특별시 성북구 장월로23길 16 ,20.7,3,37.6160452,127.0480988
서울시,은평구,선정관광고등학교,고등학교, 특성화고(직업), 서울특별시 은평구 서오릉로22길 19 ,24.1,15,37.6162559,126.9078898
성북,성북구,햇님유치원,유치원,사립,서울특별시 성북구 보국문로 28길2 보국문로28길 2,31,2,37.6162976,127.0054372
성북,강북구,서울송중초등학교,초등학교, 공립,서울특별시 강북구 오현로 9 ,24,40,37.6164665,127.030123
동부,중랑구,영은유치원,유치원,사립,서울특별시 중랑구 신내로19길 42 ,26,8,37.6165346,127.0935261
남부,영등포구,영은유치원,유치원,사립,서울특별시 영등포구 양산로 61  ,27,3,37.6165346,127.0935261
북부,노원구,영은유치원,유치원,사립,서울특별시 노원구 동일로213길 78 ,23.5,4,37.6165346,127.0935261
성북,강북구,서울오현초등학교,초등학교, 공립,서울특별시 강북구 월계로 221 ,22.6,25,37.6165492,127.0409901
서울시,강북구,창문여자고등학교,고등학교, 일반고, 서울특별시 강북구 월계로 61 ,32.9,46,37.6165492,127.0409901
성북,강북구,창문여자중학교,중학교, 사립, 서울특별시 강북구 월계로 61 창문여자중학교,33.6,18,37.6165492,127.0409901
성북,강북구,창문유치원,유치원,사립,서울특별시 강북구 월계로 61 ,20.6,7,37.6165492,127.0409901
서울시,은평구,선정고등학교,고등학교, 일반고, 서울특별시 은평구 서오릉로20길 19 ,34.1,46,37.6167464,126.9093757
서부,은평구,선정중학교,중학교, 사립, 서울특별시 은평구 서오릉로20길 19 ,32.4,30,37.6167464,126.9093757
성북,강북구,아름유치원,유치원,사립,서울특별시 강북구 도봉로 88길 ,31,1,37.6170176,127.0303189
북부,노원구,서울선곡초등학교,초등학교, 공립,서울특별시 노원구 광운로2길 1 ,23.6,42,37.61773,127.05804
성북,성북구,남대문중학교,중학교, 사립, 서울특별시 성북구 한천로95길 28 ,27.3,30,37.6178032,127.0558062
성북,강북구,서울미양초등학교,초등학교, 공립,서울특별시 강북구 솔샘로 195 ,21,31,37.6181063,127.0253753
성북,강북구,서울미양초등학교병설유치원,유치원,공립,서울특별시 강북구 솔샘로 195 ,18.5,4,37.6181063,127.0253753
동부,중랑구,원묵중학교,중학교, 공립, 서울특별시 중랑구 신내로23길 57 ,33.2,38,37.6182736,127.0852454
서울시,중랑구,태릉고등학교,고등학교, 일반고, 서울특별시 중랑구 신내로23길 36 태릉고등학교,32.8,34,37.6182736,127.0852454
서부,은평구,성균관유치원,유치원,사립,서울특별시 은평구 연서로27길 23 ,16.6,10,37.6183063,126.9174045
서부,은평구,즐거운유치원,유치원,사립,서울특별시 은평구 불광로13길 15 ,25.5,8,37.6183287,126.9326033
북부,노원구,서울공릉초등학교,초등학교, 공립,서울특별시 노원구 동일로173길 12 ,21.6,19,37.6186099,127.0731446
북부,노원구,서울공릉초등학교병설유치원,유치원,공립,서울특별시 노원구 동일로173길 12 ,23.3,3,37.6186099,127.0731446
성북,성북구,서울정릉초등학교,초등학교, 공립,서울특별시 성북구 솔샘로25가길 8 ,24,44,37.6189967,127.0059324
서부,은평구,은혜초등학교,초등학교, 사립,서울특별시 은평구 통일로78가길 20 ,20.3,12,37.6193166,126.927056
